"agecat_cdc","sex_cdc","year_cdc","allcause","sncause","smncause","cardcause","pulcause","extcause","othcause"
1,2,1997,6.46705689553833,0.0411544780820747,0.0242705896381466,0.144040673287261,0.164617912328299,0.258534541797649,5.85870929004304
1,2,1998,6.53648067777877,0.0342795172612951,0.0181785318809898,0.154257827675828,0.182304705435069,0.256057606209371,5.90958102119721
1,2,1999,6.6361683322328,0.032395256686516,0.0172774702328085,0.137139919972918,0.165755730046007,0.291557310178644,6.00932011534871
1,2,2000,6.6340592180137,0.0377026991362312,0.0226216194817387,0.125496127124884,0.151888016520246,0.307546302954114,6.01142607227823
1,2,2001,6.15974792463211,0.0305669403256907,0.0178307151899863,0.12022996528105,0.147230762568744,0.31331113833833,5.5484091181183
1,2,2002,6.37216177023693,0.0367316299169296,0.0165551008076302,0.120541827755558,0.128302031259134,0.304199977340206,5.7823863039651
1,2,2003,6.24049615110205,0.0365483153285694,0.0211053651897372,0.0988348808885256,0.143104671286511,0.295475112656321,5.66653317094213
1,2,2004,6.22663356123892,0.0372028359772828,0.0188562319336913,0.0983581827892546,0.142695809227934,0.333806268015346,5.6145704652291
1,2,2005,6.34850220935237,0.0342416396736925,0.0153320774658325,0.0822821490666342,0.140544043436798,0.346504950727814,5.74492942644743
1,2,2006,6.34995665308143,0.0349204597961759,0.018725463948674,0.0804688856172748,0.140187932804938,0.335033976595194,5.75934539826785
1,2,2007,6.33638535483511,0.0335441186554136,0.0162787634651272,0.0922463263023874,0.123817261507483,0.375398151423085,5.71137949694674
1,2,2008,6.12490354142022,0.0281775223455167,0.0108755349403749,0.0884873070148683,0.119630884344124,0.383609777896859,5.50499804981885
1,2,2009,5.91526305285557,0.0316460703492144,0.0153126146851037,0.0877923241945947,0.121480076501823,0.338408784540793,5.33593579726914
1,2,2010,5.63973766203753,0.0279810578601641,0.0160631998826868,0.0683981414359568,0.117105908822168,0.339918036227179,5.08633451769206
1,2,2011,5.45772871841694,0.0256039065416445,0.0158744220558196,0.0752754852324348,0.121874595138228,0.348213128966365,4.88676160253827
1,2,2012,5.44556280073237,0.0269942102610184,0.0150544634147987,0.0731958393616077,0.110572438184556,0.341061464259406,4.89373884866578
1,2,2013,5.36140247348649,0.0296095282422953,0.0176618238638253,0.0690888992320223,0.112723993483826,0.33557465341268,4.81440539911567
1,2,2014,5.35044675116667,0.0321161485693033,0.0155400718883726,0.0740743426679092,0.12432057510698,0.330485528826056,4.78945015599642
1,2,2015,5.3770026722885,0.0247052865195604,0.0113232563214652,0.0720570856820512,0.109629708930549,0.360800121879414,4.80981046927692
1,2,2016,5.30709652739362,0.0299020398862279,0.015982124766777,0.0763017569510643,0.105688244425461,0.359855583458398,4.73534890267247
1,2,2017,5.30709652739362,0.0299020398862279,0.015982124766777,0.0763017569510643,0.105688244425461,0.359855583458398,4.73534890267247
2,2,1975,0.569646906381601,0.0458373825720765,0.0422740524781341,0.0205701328150308,0.0434078393262067,0.250566893424036,0.20926465824425
2,2,1976,0.569646906381601,0.0458373825720765,0.0422740524781341,0.0205701328150308,0.0434078393262067,0.250566893424036,0.20926465824425
2,2,1977,0.569646906381601,0.0458373825720765,0.0422740524781341,0.0205701328150308,0.0434078393262067,0.250566893424036,0.20926465824425
